상품ID,카테고리명,상품명,가격,Image URL,부가_설명
989719,스탠다드,컴포트내추럴 스탠다드,견적상담,https://image.hanssem.com/hsimg/gds/1050/989/989719_A1.jpg?v=20240724080842,스타일에디션 컴포트내추럴 스탠다드  내추럴우드와 대리석 재질과 같은 자연의 소재를 미니멀한 디테일로 완성한 Comfort Natural 스탠다드입니다.  화이트 & 내추럴 포인트의 거실 깔끔한 화이트 공간에 미가루버와 천장과 벽을 연결하는 슬림한 라인조명으로 포인트를 준 거실입니다.  생기있는 그린 컬러가 돋보이는 키친 베이지 톤 베이스에 톤 다운 된 그린 컬러를 포인트로 매치하여 생기있게 연출한 대면형 키친 공간입니다.
934374,프리미엄,컴포트내추럴 프리미엄,견적상담,https://image.hanssem.com/hsimg/gds/1050/934/934374_A1.jpg?v=20240724081423,스타일에디션 컴포트내추럴 프리미엄  웜베이지와 내추럴 우드 베이스에 다크 그린 컬러와 동양적인 요소를 더해 주어 차분하게 연출한 Comfort Natural 프리미엄입니다.  동양적인 무드의 갤러리 거실 자연스러운 우드결 마감재와 은은하게 흐르는 간접조명을 매치하고 간살 슬라이딩 도어로 포인트를 준 서정적인 무드의 거실입니다.  베이지&딥그린이 조화를 이루는 주방 차분한 우드톤 베이스에 주방 가구의 과감한 컬러 배색으로 집 전체의 포인트가 될 수 있도록 꾸며진 주방 & 다이닝 공간입니다.
854126,프리미엄,세미클래식 프리미엄,견적상담,https://image.hanssem.com/hsimg/gds/1050/854/854126_A1.jpg?v=20240724081423,"스타일에디션 세미클래식 프리미엄  차분한 웜그레이톤 베이스에 클래식 몰딩과 골드 컬러 포인트를 더한 우아한 분위기의 Semi Classic 프리미엄 입니다.  디테일한 장식이 돋보이는 우아한 감성의 거실 웜그레이 컬러의 웨인스콧팅과 따뜻한 톤의 마루, 간접 조명 장식으로 아늑한 분위기를 연출한 거실입니다.  고급스러운 베이지 톤 주방 거실과 연결된 주방 공간으로 몰딩 장식이 있는 키큰장과 아일랜드를 배치하여 공간 활용도를 높인 대면형 주방입니다."
744781,스탠다드,젠틀브라운 스탠다드,견적상담,https://image.hanssem.com/hsimg/gds/1050/744/744781_A1.jpg?v=20250122082625,"스타일에디션 젠틀브라운 스탠다드  따뜻한 크림컬러 베이스에 대리석 패턴과 브라운 우드를 매치하여 차분하면서 중후함이 어우러지는 Gentle Brown 스탠다드입니다.  화사함과 중후함이 동시에 느껴지는 거실 크림톤의 부드러운 공간에 브라운 컬러 포인트로 공간의 무게를 잡아주어 차분함과 편안함이 느껴지는 거실입니다.  따뜻한 색감으로 꾸며진 깔끔한 분위기의 키친 부드러운 웜 화이트 컬러의 밝은 배경에 마그네틱, 시카 조명으로 포인트를 준 깔끔하고 따뜻한 분위기의 키친입니다."
989723,스탠다드,소프트화이트 스탠다드,견적상담,https://image.hanssem.com/hsimg/gds/1050/989/989723_A1.jpg?v=20250225112402,스타일에디션 소프트화이트 스탠다드  심플한 화이트 마감재에 라인의 요소를 더해 완성한 가장 기본이 되는 인테리어 스타일 Soft White 스탠다드입니다.  새하얀 캔버스 같은 거실 순백의 화이트 컬러 마감재로 깨끗한 느낌을 내고 차분한 컬러감의 마블스퀘어 강마루와 간접조명으로 은은함을 더한 새하얀 캔버스와 같은 거실입니다.  화이트룩으로 완성한 미니멀 키친 플랩장을 길게 설계하여 개방감있게 연출하고 화이트톤 마감재와 슬림한 라인감의 조명으로 미니멀룩을 완성한 키친입니다.
744813,스탠다드,어반시크 스탠다드,견적상담,https://image.hanssem.com/hsimg/gds/1050/744/744813_A1.jpg?v=20250122082545,"스타일에디션 어반시크 스탠다드  밝은 그레이 컬러 바탕에 깨끗한 화이트를 더한 편안한 분위기의 Urban Chic 스탠다드입니다.  차분한 톤의 마감재가 어우러진 모던 스타일 거실 복도에서부터 거실까지 연결된 공간에 웜 그레이 컬러의 대형 알판과 라인 조명을 적용해 개방감있는 깔끔한 스타일의 거실입니다.  다양한 용도로 사용 가능한 무드 있는 주방 벽면은 화이트 키큰장으로 깔끔하게 연출하고, 대형 아일랜드와 작업대를 배치하여 다양하게 사용할 수 있는 주방 공간입니다."
745101,스탠다드,세미클래식 스탠다드,견적상담,https://image.hanssem.com/hsimg/gds/1050/745/745101_A1.jpg?v=20250122082652,스타일에디션 세미클래식 스탠다드  따뜻한 크림톤 베이스에 클래식 몰딩과 라운드 요소를 더하여 부드러운 무드로 완성한 Semi Classic 스탠다드입니다.  우아한 클래식 마감재를 미니멀하게 사용한 거실 화이트 컬러의 클래식 마감재를 미니멀하게 사용하고 라운드 천장 디자인과 실링팬으로 트렌디하게 연출한 우아하고 세련된 거실입니다.  은은한 컬러감의 세미 클래식 키친 부드러운 크림톤 클래식 도어로 폴딩장을 설계하여 깔끔한 빌트인 룩으로 완성한 홈카페 분위기의 감각적인 공간입니다.
989720,스탠다드,유니크 스탠다드,견적상담,https://image.hanssem.com/hsimg/gds/1050/989/989720_A1.jpg?v=20240724080842,"스타일에디션 유니크 스탠다드  화이트 컬러 베이스에 비비드한 컬러를 포인트로 더한 특별한 감성을 보여주는 Unique 스탠다드입니다.  미니멀한 마감재와 비비드한 컬러가 어우러진 거실 복도를 따라 긴 라인조명과 매립등,히든몰딩이 슬림하고 미니멀한 거실을 연출합니다. 발코니 확장 공간에는 미니 홈카페를 조성했습니다.  레드 컬러로 포인드를 준 감각적인 주방 화이트 컬러 베이스에 레드 컬러의 대형 아일랜드를 중앙에 배치하여 포인트를 준 유니크한 주방 공간입니다."
934373,프리미엄,젠틀브라운 프리미엄,견적상담,https://image.hanssem.com/hsimg/gds/1050/934/934373_A1.jpg?v=20240724081423,"스타일에디션 젠틀브라운 프리미엄  짙은 월넛 브라운과 차분한 그레이 컬러의 조화. 공간의 깊이와 품격이 더해진 Gentle Brown 프리미엄입니다.  통일된 컬러와 가구 구성으로 개방감이 느껴지는 거실 거실에서 주방까지 이어지는 수납장은 공간의 연속성과 확장성을 주어 개방감이 느껴지고, 브라운 컬러 톤으로 차분함을 준 거실입니다.  그레이 & 다크 우드가 조화를 이루는 주방 차분한 그레이와 다크 무늬목의 세련된 매치, 유리 장식장 조명이 포인트를 더해주는 갤러리 같은 다이닝 공간입니다."
798901,프리미엄,소프트화이트 프리미엄,견적상담,https://image.hanssem.com/hsimg/gds/1050/798/798901_A1.jpg?v=20241028085959,스타일에디션 소프트화이트 프리미엄  다양한 질감의 화이트 마감재와 부드러운 간접조명을 더한 아늑한 화이트 인테리어 스타일 Soft White 프리미엄입니다.  톤온톤 디자인의 라운지와 같은 거실 뉴트럴톤의 와이드한 마감재를 톤온톤 매치하여 확장감을 주고 블랙 마그네틱 조명으로 포인트를 준 감각적인 라운지와 같은 거실입니다.  화이트 컬러와 간접 조명이 조화를 이루는 주방 투명한 유리 중문으로 개방감있는 다이닝룸을 만들고 매트한 질감의 화이트 컬러 가구에 간접 조명으로 포인트를 준 은은한 분위기의 주방입니다.
908746,프리미엄,어반시크 프리미엄,견적상담,https://image.hanssem.com/hsimg/gds/1050/908/908746_A1.jpg?v=20240724081423,"스타일에디션 어반시크 프리미엄  그레이 컬러를 베이스로 글래스 소재와 블랙 컬러를 더해 깊이감을 준 감각적인?Urban Chic 프리미엄입니다.  시크하고 무드있는 갤러리 스타일의 거실 자연석 느낌의 타일과 간접조명을 활용하여 차분하면서도 도회적인 분위기를 연출하는 갤러리 스타일의 공간입니다.  그레이 & 블랙 조합의 시크하고 세련된 주방 매트 그레이 도어와 블랙 컬러의 가전, 장식장 프레임 포인트로 완성된 시크하고 세련된 주방입니다."
798888,프리미엄,유니크 프리미엄,견적상담,https://image.hanssem.com/hsimg/gds/1050/798/798888_A1.jpg?v=20240724081423,"스타일에디션 유니크 프리미엄  밝은 크림 컬러를 베이스로 대비되는 블랙 컬러 포인트를 주어 모던함과 세련된 무드를 보여주는 Unique 프리미엄입니다.  크림과 블랙 대비가 돋보이는 트렌디한 거실 크림 컬러의 톤온톤 마감재로 정돈된 느낌을 주면서, 블랙 폴딩도어, 컬러감 있는 가구와 소품을 더해 유니크한 거실을 완성해줍니다.  무게감이 느껴지는시크한 감성의 주방 매트한 질감의 블랙 컬러로 세련된 주방 인테리어를 강조하며, 다이닝 공간은 분위기 있는 홈 카페로 연출했습니다."
