상품ID,카테고리명,상품명,가격,Image URL,부가_설명
1064553,유로,유로 500 노르딕,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064553_A1.jpg?v=20250502102311,"유로500 노르딕  빈티지한 감성으로 연출하는 미드센추리 모던 스타일 공간에 포인트가 되는 감성적인 우드 패턴과 컬러로 트렌디한 빈티지 인테리어를 완성합니다.  빈티지한 감성의 월넛, 오크 도어 천연무늬목을 그대로 닮은 우드패턴과 차분한 빈티지 톤의 컬러  미드센추리 감성을 더하는 라운드 디자인 감각적인 포인트가 되는 라운드 디테일  물에 강한 고강도 HPM 소재 유지관리가 쉬운 High Pressure Melamine 소재"
1068755,상판,툰드라,견적상담,https://image.hanssem.com/hsimg/gds/1050/1068/1068755_A1.jpg?v=20241129084102,"E-STONE 상판 툰드라  석영(Quartz)이 주원료인 엔지니어드스톤 상판은 내오염성, 내열성, 내구성, 내스크래치성 등 부엌 상판에 요구되는 품질 수준을 만족하며 부엌을 더 청결하고 안전한 공간으로 만들어 줍니다. 또한 자연석에 가까운 리얼한 텍스처와 패턴은 부엌 가구와 더불어 풍부한 무드를 완성합니다."
1014892,유로,유로500첼시,견적상담,https://image.hanssem.com/hsimg/gds/1050/1014/1014892_A1.jpg?v=20250502103832,유로500 첼시  한샘이 선보이는 새로운 클래식 스타일 트렌디하게 재해석된 모던 스타일의 도어로 우리집을 모던 프렌치 무드로 채워보세요.  트렌디하게 재해석된 프렌치 무드 슬림하고 모던한 형태의 몰딩과 손잡이로 더욱 트렌디해진 프렌치 컷 도어  시그니처 첼시 패키지로 완성하는 모던 프렌치 인테리어 우리 집을 감각적인 모던 프렌치 무드로 밝혀 줄 시그니처 첼시 붙박이장 & 유로500 첼시 부엌 패키지  다양한 매그놀리아 더하기 다양한 매그놀리아 도어로 포인트를 더하는 특별한 부엌
1068802,상품기기,바닐라 아일랜드 후드,견적상담,https://image.hanssem.com/hsimg/gds/1050/1068/1068802_A1.jpg?v=20250328100948,후드 FRANKE 바닐라 아일랜드 후드  화이트 패턴유리갓과 스테인리스 스틸 본체 재질감의 조화가 돋보이는 팬던트형 후드입니다. 리모컨으로 후드를 기본컨트롤 및 높이조정 할 수 있습니다.
1068791,상판,크럼블블랙,견적상담,https://image.hanssem.com/hsimg/gds/1050/1068/1068791_A1.jpg?v=20241129090909,MMA 상판 크럼블블랙  대리석의 미세한 입자나 분말을 합성 수지와 혼합하여 만들어진 인조대리석 상판으로 유지 관리가 용이하며 합리적인 가격대로 가장 널리 사용 되고 있는 부엌 상판입니다. 다양한 컬러 베이스에 대리석 입자 위주의 패턴은 상판의 깊이감과 입체감을 더해줍니다.
1068828,상품기기,프랑케 마리스 인덕션 쿡탑 4구,견적상담,https://image.hanssem.com/hsimg/gds/1050/1068/1068828_A1.jpg?v=20240808104342,"쿡탑 FRANKE 마리스 인덕션 쿡탑 4구  650 와이드에 플렉스존, 대/소화구를 갖춘 독창적인 디자인의 프리미엄 인덕션입니다. 다양한 배전 여건에 활용가능한 전력조절기능이 적용되어, 보다 효율적이고 안전하게 사용됩니다."
1064550,유로,유로 700 그레이스,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064550_A1.jpg?v=20250731171704,"미니멀 디자인에 편리한 수납으로 매일의 키친에 여유를 더합니다.  취향대로 고르는 베젤리스 프레임의 미니멀 도어와 편리한 수납 솔루션까지 디자인과 기능을 모두 만족시키는 유로 700 시리즈  탁 트인 아일랜드로, 공간을 넓게 답답한 상부장은 덜고, 후드는 아일랜드에 숨겨 시야도 공간도 여유로운 미니멀 키친을 완성해보세요.  미니멀한 디자인의 그레이스, 베일 도어 간결한 베젤리스 프레임 디자인의, 부드러운 새틴 글라스 그레이스 도어와 자연스러운 유럽 미장 페인트 스타일 베일 도어  다양한 시스템으로, 수납을 편리하게  자주 쓰는 살림은 손 닿는 곳에, 슬라이딩 벽장 매일 사용하는 머그컵, 소금, 후추통을 꺼내기 쉬운곳에 숨김 수납해 보세요.  식료품은 높이에 따라 자유롭게, 적층 팬트리 박스 높이를 자유롭게 조절해 간식부터 소스까지 다양한 식료품을 넉넉하고 깔끔하게 정리해요.  애매한 공간까지 알차게, 코너장 부피가 큰 믹서기부터 냄비까지 공간만 차지하던 살림은 코너장에 숨겨보세요. 양문형 도어로 꺼낼 때도 편해요.  한 끗 포인트로, 키친을 특별하게  취향도 고급스럽게, TWO-WAY 유리장식장 아끼는 그릇은 유리 도어 안에, 즐겨 쓰는 찻잔은 오픈형 선반에. 내 취향을 한층 더 고급스럽게 보여줘요.  세련된 소재로 감도를 더하는, 스틸 선반 매일 아침 쓰는 커피잔, 가끔 꺼내는 예쁜 접시까지 즐겨 쓰는 것들이 감각있게 드러나요.  추천상판  추천기기  Door Color  Door Type"
1068796,상품기기,그레이스 아일랜드 후드,견적상담,https://image.hanssem.com/hsimg/gds/1050/1068/1068796_A1.jpg?v=20250328101644,후드 엘리카 그레이스 아일랜드 후드  화이트 강화유리갓의 영롱함이 포인트인 팬던트형 후드입니다. 매직완드 혹은 리모컨으로 후드를 조종할 수 있습니다.
1068815,상품기기,플레인 침니후드 900,견적상담,https://image.hanssem.com/hsimg/gds/1050/1068/1068815_A1.jpg?v=20250328100314,후드 한샘 플레인 침니후드 900  3겹의 입면층이 인상적인 모던한 형태의 T자형 침니후드 입니다.
762259,유로,[특가~9/29]유로300 유로화이트,3640400,https://image.hanssem.com/hsimg/gds/1050/762/762259_A1.jpg?v=20250919155418,"유로300 유로화이트  광택감이 살아있어 깔끔한 무드가 돋보이는 스타일로 유로를 대표하는 스탠다드 모델입니다.  맑은 광택감의 화사한 유광 주방 은은한 진주펄이 더해져 유리와 같은 광택감이 감도는 유로 화이트 도어  쉬운 유지 관리 오염물이 쉽게 착색되지 않아 유지관리가 쉬운 유광 코팅 표면  유해물질 걱정 없는 친환경 자재 E0 시공 매일 쓰는 우리 집 가구, 자재등급부터 꼭 따져보세요. 한샘은 전 제품 유해물질 없는 친환경자재 E0만 사용합니다.  품질 인증 받은 자재인지 꼭! 확인하세요 업계 유일, 국제 기준(KOLAS)에 부합하는 한샘 품질 연구소의 테스트를 거쳐 내구성과 품질을 보장합니다."
1068830,상품기기,LG오브제 인덕션 3구,견적상담,https://image.hanssem.com/hsimg/gds/1050/1068/1068830_A1.jpg?v=20240808104342,"쿡탑 LG오브제 인덕션 3구  6종의 글라스패널 디자인으로 주방에 산뜻한 포인트를 주어 한결 쾌적한 공간이 됩니다. 전 화구 터보기능이 적용되어, 보다 빠른 조리회전율을 발휘합니다."
1068823,상품기기,인덕션 쿡탑 3구 BK,견적상담,https://image.hanssem.com/hsimg/gds/1050/1068/1068823_A1.jpg?v=20250528110521,"한샘 인덕션 쿡탑 3구 BK  강력한 화력으로 짧아진 조리 시간, 간편한 청소와 관리로 여유로운 조리 공간을 만들어 드립니다.  변색 걱정 없이 오래도록 깔끔한 조리 공간 오염, 스크래치에 강한 고품격 세라믹 글라스로 음식이 흘러 넘치거나 묻어도 행주로 닦아 간편하게 청소할 수 있습니다.  한 번에 많은 요리도 빠르게 준비할 수 있는 고화력 부스터 총 3300W의 강력한 화력으로 하이라이트보다 3배 빠르게 요리가 가능해 답답한 시간을 줄여줍니다.  누구나 쉽게 사용할 수 있는 직관적인 슬라이딩 조작 방식 슬라이딩 바를 좌우로 밀거나 터치하여 3개의 화구를 개별적으로 조절할 수 있습니다.  3중 안전 장치 시스템으로 보다 안전하게 과열보호, 조리용기 감지, 전원 자동 꺼짐 3중 안전 장치 시스템으로 안전하게 사용하세요.  한샘이 책임지는 진정한 All-in-One 시스템 부엌, 기기 따로 상담하고 선택하기 어려웠죠. 이제 한샘이 상담, 구매, 설치, AS까지 처음부터 끝까지 책임지고 안내해 드립니다.  설치 프로세스 쿡탑을 설치하기 전, 다음 사항을 확인하세요. - 세대 전기용량을 확인 및 220V 접지콘센트 연결가능 여부. - 조리대 표면은 수평을 이루며, 내열성 재질로 이루어져 있음. - 쿡탑 하부에 오븐이나 식기세척기를 설치할 수 없음. - 쿡탑 주변 벽면은 내열성 및 청소가 용이한 마감재로 되어있음. 예) 세라믹타일  * 후드 배기관 삽입 구조가 적용된 한샘 전용장 설치를 기준으로 합니다. * 자세한 내용은 제품 사용설명서를 참고해주세요.  설치 가이드 및 확인사항  쿡탑을 설치하기 전, 다음 사항을 확인하세요. - 멀티코드로 연장하여 사용할 경우, 16A(암페어) 이상의 규격을 사용. - 전원 케이블이 상부/밑장 문이나 서랍과 간섭을 일으키지 않음. - 하부장 외부에서 쿡탑 빌트인 하단면 까지 통풍이 적절하게 이루어짐. - 사용자가 차단스위치에 쉽게 접근할 수 있음.  품질 보증  1. A/S 정책 [ 품질보증기간 1년, 부품보유기간 3년 ] (주)한샘에서는 품목별 소비자 분쟁해결 기준(공정거래위원회 고지 20009-1호)에 따라 아래와 같이 제품에 대한 보증을 실시합니다. 서비스 요청시 (주)한샘에서 서비스를 합니다. [ 무상서비스(1년) ] 한샘 연계설치 서비스 제품에 한하여 제조결함으로 인한 고장이 발생할 경우. * 소비자 과실로 인한 고장의 경우 비용이 발생할 수 있음 * 한샘에서 소개한 설치업체가 아닌, 사설시공업체의 과실로 인한 하자는 불가 [ 유상서비스 ] 1년 무상A/S기간 종료 이후에는 유상A/S가 제공됩니다. * 출장비 및 부품비용 청구 [ 파손 ] - 운송 중 제품이 파손된 경우, 교환 및 반품을 진행해 드립니다. - 제품 수령 후 파손이 확인된 경우 고객센터로 연락주시기 바랍니다. (전화 : 1588-0900-1) [ 경미한 외관 결함 ] - 경미한 외관 결함 또는 미세 스크래치란, 밝은 직사광선이나 강한 조명 아래에서만 보이거나 특정 각도에서만 확인 가능한 경우를 일컫습니다. - 이는 제품 성능에 영향을 미치지 않는 한, A/S나 교환 대상에 포함되지 않습니다. [ 클레임 접수 가능 시간 ] - 제품설치 후 24시간 이내 발생한 외관결함에 대해서만 클레임 접수가 가능합니다. - 24시간이 경과된 경우, 사용 중 발생한 손상으로 간주되어 무상A/S 대상에서 제외될 수 있습니다.  2. 교환 및 반품 안내 이 제품은 한샘에서 견적상담/설계/시공/해피콜/AS 까지 책임지는 제품입니다. 부품별 보증기간이 상이하니 자세한 내용은 한샘서비스센터 홈페이지를 참고 바랍니다.  3. 고객센터 정보 수신자 부담 A/S 전화 및 주소 1588-0900, 1588-0901"
1074500,상품기기,아메리칸 스탠다드 ARCO 입수전 / 무광,견적상담,https://image.hanssem.com/hsimg/gds/1050/1074/1074500_A1.jpg?v=20250822143404,"아메리칸 스탠다드 ARCO 입수전  40년이 넘는 역사를 바탕으로 위생 도기에서 가장 대표적인 브랜드 입니다. American Standard는 디자인, 품질 및 신뢰성 바탕으로 다양한 욕실 및 주방 제품을 꾸준히 제공하여 고객의 신뢰를 얻었습니다. 핸들에 에코카트리지가 적용되어 수온 변경 시 불필요한 온수 사용을 조절 합니다."
1068837,상품기기,슬림프리 가스쿡탑 3구,견적상담,https://image.hanssem.com/hsimg/gds/1050/1068/1068837_A1.jpg?v=20240808104342,쿡탑 한샘 슬림프리 가스쿡탑 3구  스테인리스 몸통의 기본 3구 형태를 갖춘 가스쿡탑 입니다. 부엌하부장 상판을 타공/삽입할 필요없이 자유롭게 거치하여 사용합니다.
1064557,유로,유로 300 유로,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064557_A1.jpg?v=20240724081423,유로300 유로  광택감이 살아있어 깔끔한 무드가 돋보이는 스타일로 유로를 대표하는 스탠다드 모델입니다.  맑은 광택감의 화사한 유광 주방 은은한 진주펄이 더해져 유리와 같은 광택감이 감도는 기본 화이트/그레이 도어  쉬운 유지 관리 오염물이 쉽게 착색되지 않아 유지관리가 쉬운 유광 코팅 표면
762233,유로,[특가~9/29]유로300 터치,3564400,https://image.hanssem.com/hsimg/gds/1050/762/762233_A1.jpg?v=20250919154859,"유로300 터치  유화같은 붓터치 질감을 구현한 스타일. 깊은 텍스처로 공간의 분위기를 한 층 더해줍니다.  유화 붓터치 같은 표면 유화와 같은 붓터치 표면의 질감이 감각적으로 표현된 도어  손 끝으로 느껴지는 텍스처 지문 자국을 최소화하는 붓터치 질감의 엠보 텍스처  마일드한 모노톤 컬러 3종 따뜻한 화이트 컬러와 미드그레이 컬러, 그리고 차콜빛의 블랙 컬러까지.  유해물질 걱정 없는 친환경 자재 E0 시공 매일 쓰는 우리 집 가구, 자재등급부터 꼭 따져보세요. 한샘은 전 제품 유해물질 없는 친환경자재 E0만 사용합니다.  품질 인증 받은 자재인지 꼭! 확인하세요 업계 유일, 국제 기준(KOLAS)에 부합하는 한샘 품질 연구소의 테스트를 거쳐 내구성과 품질을 보장합니다."
1068790,상판,글램다크,견적상담,https://image.hanssem.com/hsimg/gds/1050/1068/1068790_A1.jpg?v=20241129090832,MMA 상판 글램다크  대리석의 미세한 입자나 분말을 합성 수지와 혼합하여 만들어진 인조대리석 상판으로 유지 관리가 용이하며 합리적인 가격대로 가장 널리 사용 되고 있는 부엌 상판입니다. 다양한 컬러 베이스에 대리석 입자 위주의 패턴은 상판의 깊이감과 입체감을 더해줍니다.
1120435,상품기기,LG Fit&Max김치냉장고 3도어,견적상담,https://image.hanssem.com/hsimg/gds/1050/1120/1120435_A1.jpg?v=20250910131626,"LG 핏 앤 맥스 김치냉장고 3도어  오브제 컬렉션 디자인과 기술력으로 어떤 공간에도 자연스럽게 설계가 가능한 핏 앤 맥스 냉장고  냉장고 장과의 간격을 최소로 한 핏 앤 맥스 디자인 부엌 도어와 완전한 맞춤. 한샘의 완벽한 부엌 설계와 감쪽같은 시공 마무리로 가구와의 갭을 최소화한 완벽한 빌트인 인테리어를 완성해보세요.  칸칸마다 식재료에 맞게 상칸에는 음료나 주류, 중/하칸에는 채소나 과일을 위주로 식재료에 따라 맞춤 보관할 수 있어 신선함을 더 오래 유지할 수 있어요.  인공지능 맞춤보관으로 포장 김치도 더 맛있게 포장 김치를 새로 구매했다면 ThinQ앱에 간단하게 등록해보세요. 제조사와 제조일자에 맞춰 알아서 더 맛있고 시원하게 익혀줘요."
1068859,상품기기,입수전 HS620B 스텐 / 흑니켈 무광,견적상담,https://image.hanssem.com/hsimg/gds/1050/1068/1068859_A1.jpg?v=20250822141748,"수전 한샘 입수전 스텐 / 흑니켈 무광  고급 스레인리스 소재를 사용하여 내구성이 뛰어나며, 고급스러운 무광마감의 수전 입니다. 절수 인증을 받은 친환경 제품으로, 높은 품질 기준으로 생산하여 핸들 내구성 및 표면 변색/녹 등에 강합니다."
1068803,상품기기,스틸룩스 후드 900,견적상담,https://image.hanssem.com/hsimg/gds/1050/1068/1068803_A1.jpg?v=20250328100925,"후드 FRANKE 스틸룩스 후드 900  모던한 디자인의 T자형 기본모델로, 탄소필터형/자바라형 방식중 선택시공이 가능합니다."
1104441,상판,스테인리스,견적상담,https://image.hanssem.com/hsimg/gds/1050/1104/1104441_A1.jpg?v=20250617134330,"스테인리스 상판  스테인리스강은 일반 탄소강 비교했을 때 우수한 내식성을 갖추고 있으며, 강도가 높아 변형 없이 오랫동안 사용할 수 있습니다. 특히, 항박테리아 성질을 가지고 있어 식품 제조 설비, 식품 저장 용기, 유아용 식기, 의료 기기 등 위생 관리가 필수적인 분야에서 널리 활용됩니다.  위생적으로 관리할 수 있는 스테인리스 상판 친환경 스테인리스 상판은 세련된 무드를 연출하며, 뛰어난 내구성으로 오랫동안 변함없이 위생적으로 관리할 수 있습니다.  다만, 소재의 특성상 염분이 많은 환경이나 염소계 세척제에 노출되면 부식이 발생 할 수 있으며, 생활 속에서 지문, 얼룩 스크래치, 광택 저하 등이 생길 수 있습니다. 이는 자연스러운 현상이므로 아래의 내용을 참고하여 관리해 주시면 오랫동안 깨끗하게 사용할 수 있습니다.  싱크볼과 상판 연결 부위는 용접 후 수작업 연마 과정을 거치기 때문에, 연마 흔적이 보일 수 있습니다. 이는 제품 표면의 품질이나 기능에는 전혀 문제가 없는 자연스러운 현상이므로, 안심하고 사용하셔도 됩니다.  자주 묻는 질문 (Q&A)  Q. 녹이 슬지 않나요? 불순물의 혼입 (철성분 - 철가루, 나사못, 흙 등)이나 염소계 표백제 사용 시 스테인리스 표면의 부동태 피막이 손상되어 부식(녹)이 발생할 수 있습니다. 해당 성분이 묻었다면 빠르게 제거해 주시고 항상 청결을 유지 해야 녹 발생을 방지 할 수 있습니다.  Q. 부동태 피막이 무엇인가요? 스테인리스 표면에는 눈에 보이지 않는 치밀한 보호막(부동태 피막)이 있습니다. 이 피막은 항균 및 부식 예방 작용을 하며 일부 손상되어도 다시 재생가능합니다. 다만, 지속적으로 피막 손상 시 항균성이 낮아지고 부식이 발생 할 수 있습니다.  Q. 생활 스크래치나
얼룩이 쉽게 생기는
이유는 무엇인가요? 스테인리스강은 강도가 높은 금속이지만, 표면 경도 자체는 세라믹이나 석재보다 낮습니다. 또한 반사율이 높은 표면구조로 작은 흠집도 빛 반사에 의해 눈에 더 잘 띌 수 있습니다. 식기 부딪힘 등으로 잔 스크래치가 발생할 수 있으나 부동태 피막이 항균 작용을 하고 있으므로 안심하고 사용 가능합니다. * 물자국이나 지문이 생겼을 때 오랫동안 방치하면 지우기 어려울 수 있습니다."
860261,밀란,[특가~9/29]밀란100 무드베이지,1892400,https://image.hanssem.com/hsimg/gds/550/860/860261_A1.jpg?v=20250919154302,"밀란100 무드베이지  심플함에 부드러운 감도를 더하는 밀란의 베스트 셀러. 주방 가전과 톤온톤 매칭이 가능한 화이트+베이지 컬러의 키친으로 깔끔하고 감도 높은 공간을 만들어 보세요.  심플한 인테리어의 기본, 무드화이트+베이지 인테리어의 기본이 되는 화이트+베이지 컬러 선택지로 시작하는 쉽고 깔끔한 부엌 인테리어  오래 사용해도 변함 없는 도어 오랜 기간 빛에 노출되어도 변색 없는 ASA 소재  베이직 무드 붙박이장과 함께 완성하는 인테리어 베이직 무드 키친+붙박이장으로 쉽게 완성하는 톤온톤 인테리어  유해물질 걱정 없는 친환경 자재 E0 시공 매일 쓰는 우리 집 가구, 자재등급부터 꼭 따져보세요. 한샘은 전 제품 유해물질 없는 친환경자재 E0만 사용합니다.  품질 인증 받은 자재인지 꼭! 확인하세요 업계 유일, 국제 기준(KOLAS)에 부합하는 한샘 품질 연구소의 테스트를 거쳐 내구성과 품질을 보장합니다."
1068816,상품기기,유로 침니후드600,견적상담,https://image.hanssem.com/hsimg/gds/1050/1068/1068816_A1.jpg?v=20250414145201,후드 한샘 NEW유로 침니후드600  컴팩트한 600폭의 모던스타일 T자형 후드입니다.
1074504,상판,캄브리아,견적상담,https://image.hanssem.com/hsimg/gds/1050/1074/1074504_A1.jpg?v=20241129083735,"E-STONE 상판 캄브리아 (matt)  석영(Quartz)을 주원료로 한 엔지니어드 스톤 상판은 내오염성, 내열성, 내구성, 내스크래치성 등 부엌 상판에 요구되는 품질 기준을 충족하여, 부엌을 더욱 청결하고 안전한 공간으로 만들어 줍니다. 또한, 자연석에 가까운 리얼한 텍스처와 패턴으로 부엌 가구와 조화를 이루어 풍부한 무드를 연출합니다. 천연 대리석과 같은 마블 패턴 라인업으로 고급스러운 분위기를 연출할 수 있습니다."
1068834,상품기기,연동형 하이브리드 쿡탑 3구,견적상담,https://image.hanssem.com/hsimg/gds/1050/1068/1068834_A1.jpg?v=20240808104342,쿡탑 한샘 연동형 하이브리드 쿡탑 3구  블랙유리 상판의 기본 3구 형태를 갖춘 하이브리드 쿡탑 입니다. 후드Ⅹ쿡탑 연동시스템이 적용된 모델입니다.
1068827,상품기기,프랑케 미소스투게더 후드일체형 인덕션 쿡탑 4구,견적상담,https://image.hanssem.com/hsimg/gds/1050/1068/1068827_A1.jpg?v=20240808104342,"쿡탑 FRANKE 미소스투게더 후드일체형 인덕션 쿡탑 4구  후드와 쿡탑이 일체화된 모델로, 각각의 인덕션화구에 슬라이드터치 컨트롤이 적용되어 있습니다. 동급 최대의 흡입력을 발휘하며, 필터수명 정도에 따라 필터교체 알람이 작동합니다."
1068777,상판,코튼화이트,견적상담,https://image.hanssem.com/hsimg/gds/1050/1068/1068777_A1.jpg?v=20241129085925,MMA 상판 코튼화이트  대리석의 미세한 입자나 분말을 합성 수지와 혼합하여 만들어진 인조대리석 상판으로 유지 관리가 용이하며 합리적인 가격대로 가장 널리 사용 되고 있는 부엌 상판입니다. 다양한 컬러 베이스에 대리석 입자 위주의 패턴은 상판의 깊이감과 입체감을 더해줍니다.
1068818,상품기기,갤럭시후드 600,견적상담,https://image.hanssem.com/hsimg/gds/1050/1068/1068818_A1.jpg?v=20250414145201,후드 한샘 갤럭시후드 600  모던한 입면디자인에 음각의 LED CI가 돋보이는 한샘의 시그니쳐 디자인 후드입니다.
1064549,유로,유로 900 캔버스,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064549_A1.jpg?v=20240724081423,"유로900 캔버스  20종의 감각적인 컬러 옵션을 가진 유로900 캔버스 깨끗한 마감과 감도를 보여주는 도장 공법의 도어입니다. 트렌드 기반으로 선정된 감도높은 컬러를 골라 보세요.  20종의 감각적인 컬러 선택지 따뜻한 감성이 묻어나는 파스텔 컬러부터, 시크함을 지닌 짙은 컬러까지 취향껏 선택할 수 있는 감각적인 선택지 (유/무광 선택 가능)  완벽히 이어지는 매끄러운 표면 자동차 외장재와 동일한 우레탄 도료로 전면부터 엣지, 후면까지 하나로 이어지는 매끈한 6면 마감  MD Pick! 2024 추천 컬러 조합 EARTHY COZY ㅣ 소프트브릭 + 매그놀리아 LIGHT FRESH ㅣ 라이트그린 + 아이보리 WARM SOFT ㅣ애쉬로즈 + 아이보리 TIMELESS BLUE ㅣ다크네이비 + 쿨그레이"
1116622,상판,샌드크림,견적상담,https://image.hanssem.com/hsimg/gds/1050/1116/1116622_A1.jpg?v=20250731170554,"E-STONE 상판 샌드크림  석영(Quartz)이 주원료인 엔지니어드스톤 상판은 내오염성, 내열성, 내구성, 내스크래치성 등 부엌 상판에 요구되는 품질 수준을 만족하며 부엌을 더 청결하고 안전한 공간으로 만들어 줍니다. 또한 자연석에 가까운 리얼한 텍스처와 패턴은 부엌 가구와 더불어 풍부한 무드를 완성합니다."
1068853,상품기기,엘레시 인셋 싱크볼 BLACK HOLE 940,견적상담,https://image.hanssem.com/hsimg/gds/1050/1068/1068853_A1.jpg?v=20240808104342,싱크 엘레시 인셋 싱크볼 BLACK HOLE  이태리 본사에서 제조한 화강석 싱크볼로 엘레시 만의 독창적인 제조 시스템과 내구성이 강한 천연소재를 사용한 환경보호 인증제품 입니다.
1120436,상품기기,LG 오브제컬렉션 식기세척기,견적상담,https://image.hanssem.com/hsimg/gds/1050/1120/1120436_A1.jpg?v=20250909161806,"LG 오브제컬렉션 식기세척기  세척을 넘어 위생까지 관리하는 세상에 없던 식기세척기  당신의 공간을 빛내는 디자인 시선을 사로잡는 미니멀한 바디, 취향에 따라 공간에 맞춘 컬러까지. 주방에 감각적인 멋을 더할 수 있습니다.  트루세척 유해세균 걱정없는 100도씨 트루스팀과 입체물살을 만드는 토네이도 세척날개 그리고 물 얼룩을 감소시키는 연수장치로 트루세척을 경험할 수 있습니다."
